,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Treasury Shares Number,,,0.0,0.0,,,
Ordinary Shares Number,15222259000.0,15337686000.0,15460223000.0,15550061000.0,15647868000.0,,
Share Issued,15222259000.0,15337686000.0,15460223000.0,15550061000.0,15647868000.0,,
Net Debt,75739000000.0,71895000000.0,67280000000.0,81123000000.0,80872000000.0,,
Total Debt,101304000000.0,104590000000.0,108040000000.0,123930000000.0,109280000000.0,,
Tangible Book Value,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Invested Capital,168012000000.0,178784000000.0,182140000000.0,173234000000.0,169554000000.0,,
Working Capital,-6189000000.0,4594000000.0,9719000000.0,-1742000000.0,-2304000000.0,,
Net Tangible Assets,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Capital Lease Obligations,,,,12842000000.0,,,
Common Stock Equity,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Total Capitalization,152904000000.0,166025000000.0,169188000000.0,157427000000.0,158345000000.0,,
Total Equity Gross Minority Interest,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Stockholders Equity,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Gains Losses Not Affecting Retained Earnings,-8416000000.0,-8960000000.0,-9378000000.0,-11452000000.0,-11801000000.0,,
Other Equity Adjustments,-8416000000.0,-8960000000.0,-9378000000.0,-11452000000.0,-11801000000.0,,
Retained Earnings,-4726000000.0,4339000000.0,8242000000.0,-214000000.0,1408000000.0,,
Capital Stock,79850000000.0,78815000000.0,75236000000.0,73812000000.0,70667000000.0,,
Common Stock,79850000000.0,78815000000.0,75236000000.0,73812000000.0,70667000000.0,,
Total Liabilities Net Minority Interest,264904000000.0,263217000000.0,279414000000.0,290437000000.0,274764000000.0,,
Total Non Current Liabilities Net Minority Interest,133280000000.0,139395000000.0,145441000000.0,145129000000.0,149801000000.0,,
Other Non Current Liabilities,47084000000.0,47564000000.0,50353000000.0,23124000000.0,51730000000.0,,
Tradeand Other Payables Non Current,,,,15457000000.0,,,
Long Term Debt And Capital Lease Obligation,86196000000.0,91831000000.0,95088000000.0,106548000000.0,98071000000.0,,
Long Term Capital Lease Obligation,,,,11267000000.0,,,
Long Term Debt,86196000000.0,91831000000.0,95088000000.0,95281000000.0,98071000000.0,,
Current Liabilities,131624000000.0,123822000000.0,133973000000.0,145308000000.0,124963000000.0,,
Other Current Liabilities,60889000000.0,57298000000.0,54611000000.0,48435000000.0,58897000000.0,,
Current Deferred Liabilities,8053000000.0,8012000000.0,8264000000.0,8061000000.0,8158000000.0,,
Current Deferred Revenue,8053000000.0,8012000000.0,8264000000.0,8061000000.0,8158000000.0,,
Current Debt And Capital Lease Obligation,15108000000.0,12759000000.0,12952000000.0,17382000000.0,11209000000.0,,
Current Capital Lease Obligation,,,,1575000000.0,,,
Current Debt,15108000000.0,12759000000.0,12952000000.0,15807000000.0,11209000000.0,,
Other Current Borrowings,12114000000.0,10762000000.0,10954000000.0,9822000000.0,7216000000.0,,
Commercial Paper,2994000000.0,1997000000.0,1998000000.0,5985000000.0,3993000000.0,,
Payables And Accrued Expenses,47574000000.0,45753000000.0,58146000000.0,71430000000.0,46699000000.0,,
Payables,47574000000.0,45753000000.0,58146000000.0,71430000000.0,46699000000.0,,
Total Tax Payable,,,,8819000000.0,,,
Income Tax Payable,,,,8819000000.0,,,
Accounts Payable,47574000000.0,45753000000.0,58146000000.0,62611000000.0,46699000000.0,,
Total Assets,331612000000.0,337411000000.0,353514000000.0,352583000000.0,335038000000.0,,
Total Non Current Assets,206177000000.0,208995000000.0,209822000000.0,209017000000.0,212379000000.0,,
Other Non Current Assets,70435000000.0,70262000000.0,66681000000.0,36245000000.0,64768000000.0,,
Non Current Deferred Assets,,,,17852000000.0,,,
Non Current Deferred Taxes Assets,,,,17852000000.0,,,
Investments And Advances,91240000000.0,95187000000.0,99475000000.0,100544000000.0,104061000000.0,,
Other Investments,,,,,,,114095000000.0
Investmentin Financial Assets,91240000000.0,95187000000.0,99475000000.0,100544000000.0,104061000000.0,,
Available For Sale Securities,91240000000.0,95187000000.0,99475000000.0,100544000000.0,104061000000.0,,
Net PPE,44502000000.0,43546000000.0,43666000000.0,54376000000.0,43550000000.0,,
Accumulated Depreciation,-72627000000.0,-71697000000.0,-72510000000.0,-70884000000.0,-70787000000.0,,
Gross PPE,117129000000.0,115243000000.0,116176000000.0,125260000000.0,114337000000.0,,
Leases,,,,12839000000.0,,,
Other Properties,,,,10661000000.0,,,
Machinery Furniture Equipment,,,,78314000000.0,,,
Land And Improvements,,,,23446000000.0,,,
Properties,,,,0.0,,,
Current Assets,125435000000.0,128416000000.0,143692000000.0,143566000000.0,122659000000.0,,
Other Current Assets,14297000000.0,13884000000.0,13979000000.0,14695000000.0,13640000000.0,,
Inventory,6165000000.0,6232000000.0,6511000000.0,6331000000.0,7351000000.0,,
Finished Goods,,,,,3563000000.0,4103000000.0,4307000000.0
Raw Materials,,,,,3788000000.0,3379000000.0,2513000000.0
Receivables,43172000000.0,41150000000.0,50102000000.0,60985000000.0,39186000000.0,,
Other Receivables,20377000000.0,19313000000.0,26908000000.0,31477000000.0,19637000000.0,,
Accounts Receivable,22795000000.0,21837000000.0,23194000000.0,29508000000.0,19549000000.0,,
Cash Cash Equivalents And Short Term Investments,61801000000.0,67150000000.0,73100000000.0,61555000000.0,62482000000.0,,
Other Short Term Investments,36236000000.0,34455000000.0,32340000000.0,31590000000.0,34074000000.0,,
Cash And Cash Equivalents,25565000000.0,32695000000.0,40760000000.0,29965000000.0,28408000000.0,,
Cash Equivalents,2699000000.0,4468000000.0,11218000000.0,1606000000.0,3071000000.0,,
Cash Financial,22866000000.0,28227000000.0,29542000000.0,28359000000.0,25337000000.0,,
